"Piso en via laietana, Sant Pere - Santa Caterina i la Ribera, Barcelona",1.750,€/mes,3 ,120 ,1ª planta exterior con ascensor
"Piso en Casc Antic, Vic",700,€/mes,1 ,80 ,2ª planta  con ascensor
"Piso en calle de Santa Amèlia, Barcelona, Sarrià, Barcelona",1.500,€/mes,2 ,70 ,7ª planta exterior con ascensor
"Chalet adosado en calle de Can Però, 9, Cabrils",1.800,€/mes,4 ,250 ,1 hora
"Piso en rocafort, La Nova Esquerra de l'Eixample, Barcelona",1.600,€/mes,3 ,105 ,2ª planta exterior con ascensor
"Piso en calle de Bac de Roda, Barcelona, Provençals del Poblenou, Barcelona",1.650,€/mes,2 ,110 ,6ª planta exterior con ascensor
"Piso en valencia, La Dreta de l'Eixample, Barcelona",2.500,€/mes,2 ,150 ,1ª planta exterior con ascensor
"Estudio en Galileu, 237, Les Corts, Barcelona",800,€/mes,37 ,1ª planta ,1 hora
"Piso en calle de Suïssa, Barcelona, El Putxet i el Farró, Barcelona",1.500,€/mes,1 ,65 ,3ª planta exterior con ascensor
"Piso en Industria, La Sagrada Família, Barcelona",1.500,€/mes,2 ,81 ,5ª planta exterior con ascensor
"Estudio en gran via de les corts catalanes, La Dreta de l'Eixample, Barcelona",1.300,€/mes,80 ,3ª planta ,
"Piso en calle de Sugranyes, Barcelona, Sants - Badal, Barcelona",1.100,€/mes,3 ,75 ,2ª planta exterior sin ascensor
"Piso en calle de Rita Bonnat, Barcelona, Les Corts, Barcelona",5.900,€/mes,4 ,180 ,4ª planta exterior con ascensor
"Piso en plaza Regomir, El Gòtic, Barcelona",1.100,€/mes,2 ,70 ,2ª planta exterior con ascensor
"Casa o chalet independiente en Muntanya, Sant Just Desvern",1.650,€/mes,4 ,85 ,
"Piso en calle Alt de Gironella, Les Tres Torres, Barcelona",1.300,€/mes,4 ,110 ,2ª planta exterior con ascensor
"Piso en calle del Comte Borrell, Barcelona, Sant Antoni, Barcelona",2.000,€/mes,2 ,70 ,Entreplanta exterior sin ascensor
"Dúplex en Josep Pla, El Besòs, Barcelona",7.500,€/mes,3 ,240 ,21ª planta exterior con ascensor
"Dúplex en paseo taulat, Diagonal Mar i el Front Marítim del Poblenou, Barcelona",7.150,€/mes,3 ,160 ,20ª planta exterior con ascensor
Dúplex en Polinyà,790,€/mes,3 ,112 ,2ª planta exterior con ascensor
"Ático en paseo de Gracia, Barcelona, La Dreta de l'Eixample, Barcelona",2.100,€/mes,1 ,63 ,9ª planta exterior con ascensor
"Piso en L'Antiga Esquerra de l'Eixample, Barcelona",1.300,€/mes,4 ,100 ,4ª planta exterior con ascensor
"Piso en paseo de Gracia, Barcelona, La Dreta de l'Eixample, Barcelona",3.300,€/mes,2 ,101 ,8ª planta exterior con ascensor
"Ático en calle del Moianès, Barcelona, 58, Hostafrancs, Barcelona",850,€/mes,1 ,38 ,5ª planta exterior con ascensor
"Piso en La Dreta de l'Eixample, Barcelona",3.200,€/mes,3 ,120 ,Entreplanta exterior con ascensor
"Piso en calle Villarroel, Barcelona, L'Antiga Esquerra de l'Eixample, Barcelona",1.900,€/mes,5 ,185 ,1ª planta exterior con ascensor
"Piso en Sant Gervasi - Galvany, Barcelona",2.300,€/mes,1 ,80 ,3ª planta exterior con ascensor
"Ático en Morales, Les Corts, Barcelona",1.200,€/mes,2 ,60 ,2ª planta exterior con ascensor
"Piso en Consell de cent, La Dreta de l'Eixample, Barcelona",1.550,€/mes,2 ,65 ,4ª planta exterior con ascensor
"Piso en montseny, Vila de Gràcia, Barcelona",1.200,€/mes,2 ,65 ,2ª planta exterior con ascensor
"Piso en El Raval, Barcelona",1.200,€/mes,3 ,80 ,2ª planta exterior sin ascensor
"Piso en La Bordeta, Barcelona",1.400,€/mes,4 ,90 ,3ª planta exterior con ascensor
"Casa o chalet independiente en Sarrià, Barcelona",7.700,€/mes,5 ,420 ,
"Ático en calle Antonio Vico, 22, Can Rull, Sabadell",500,€/mes,49 ,4ª planta ,2 horas
Casa o chalet independiente en Esplugues de Llobregat,6.500,€/mes,4 ,500 ,
"Piso en paseo de Maragall, Barcelona, El Camp de l'Arpa del Clot, Barcelona",875,€/mes,2 ,58 ,Entreplanta exterior con ascensor
"Piso en El Gòtic, Barcelona",4.950,€/mes,9 ,300 ,Entreplanta exterior con ascensor
"Piso en avenida de l'Ajuntament, Les Franqueses del Vallès",925,€/mes,3 ,136 ,3ª planta exterior con ascensor
"Piso en Josep Bertran, Sant Gervasi - Galvany, Barcelona",12.500,€/mes,4 ,450 ,1ª planta exterior con ascensor
"Ático en calle de les Escoles Pies, Barcelona, Les Tres Torres, Barcelona",2.400,€/mes,2 ,100 ,7ª planta exterior con ascensor
"Piso en La Dreta de l'Eixample, Barcelona",2.070,€/mes,2 ,70 ,1ª planta exterior con ascensor
"Ático en Alcolea, Sants, Barcelona",1.600,€/mes,1 ,65 ,6ª planta exterior con ascensor
"Piso en calle del Cardenal Reig, Barcelona, La Maternitat i Sant Ramon, Barcelona",1.050,€/mes,4 ,84 ,6ª planta exterior con ascensor
"Piso en La Dreta de l'Eixample, Barcelona",1.050,€/mes,1 ,60 ,1ª planta interior con ascensor
"Piso en calle de Bailèn, La Dreta de l'Eixample, Barcelona",1.715,€/mes,1 ,60 ,4ª planta exterior con ascensor
"Piso en calle d'aribau, L'Antiga Esquerra de l'Eixample, Barcelona",1.000,€/mes,3 ,70 ,3ª planta exterior sin ascensor
"Piso en El Gòtic, Barcelona",2.200,€/mes,2 ,115 ,3ª planta exterior con ascensor
"Piso en Sant Gervasi - Galvany, Barcelona",1.100,€/mes,1 ,46 ,8ª planta exterior con ascensor
"Casa o chalet independiente en Pedralbes, Barcelona",14.000,€/mes,8 ,1.000 ,
